Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit gamma	1	0.999	11	15	0	15	12	2	1	0	0	0	12	2	1	1.42E+08	1.18E+08	1.16E+08	2.55E+07	2.71E+07	2.45E+07	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	455	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Elongation factor Tu, mitochondrial"	1	0.9989	7	7	5	8	6	0	1	4	0	1	6	0	2	4.61E+07	3.78E+07	5.08E+07	1.51E+07	1.54E+07	1.56E+07	
sp|P49419|AL7A1_HUMAN	P49419	AL7A1_HUMAN	ALDH7A1	539	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-aminoadipic semialdehyde dehydrogenase	1	0.999	11	11	0	11	11	0	0	0	0	0	11	0	0	6.71E+07	4.96E+07	7.27E+07	1.09E+07	1.24E+07	1.74E+07	"tr|A0A1B0GTG2|A0A1B0GTG2_HUMAN, tr|A0A1B0GUA1|A0A1B0GUA1_HUMAN, tr|A0A1B0GW77|A0A1B0GW77_HUMAN, tr|A0A1B0GW82|A0A1B0GW82_HUMAN"
sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Alanine--tRNA ligase, cytoplasmic"	0.9999	0.9748	1	1	0	1	1	0	0	0	0	0	1	0	0	2441648.5	0	0	0	0	0	"tr|A0A6Q8PFK3|A0A6Q8PFK3_HUMAN, tr|A0A6Q8PFY2|A0A6Q8PFY2_HUMAN, tr|A0A6Q8PGB5|A0A6Q8PGB5_HUMAN, tr|A0A6Q8PGN5|A0A6Q8PGN5_HUMAN, tr|A0A6Q8PGR9|A0A6Q8PGR9_HUMAN, tr|H3BPK7|H3BPK7_HUMAN"
sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	SARS1	514	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Serine--tRNA ligase, cytoplasmic"	1	0.9985	1	1	0	1	1	0	0	0	0	0	1	0	0	1.34E+07	1.32E+07	0	0	0	0	tr|Q5T5C7|Q5T5C7_HUMAN
sp|P49610|STRH_STRPN	P49610	STRH_STRPN	strH	1312	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187	1:Experimental evidence at protein level	Beta-N-acetylhexosaminidase	0.8964	0.9837	1	1	0	1	1	0	0	0	0	0	1	0	0	1406212.2	0	0	0	0	0	"tr|A0A081PUG6|A0A081PUG6_STRMT, tr|A0A081Q6V8|A0A081Q6V8_STRMT, tr|A0A081Q8C4|A0A081Q8C4_STRMT, tr|A0A081R0F6|A0A081R0F6_STRMT, tr|A0A081SB88|A0A081SB88_STRMT, tr|A0A0E9GVX9|A0A0E9GVX9_STREE, tr|A0A0F2DP48|A0A0F2DP48_STRMT, tr|A0A0H2ZQY4|A0A0H2ZQY4_STRP2, tr|A0A0T7YKJ0|A0A0T7YKJ0_STREE, tr|A0A0T7ZMA0|A0A0T7ZMA0_STREE, tr|A0A0T8CEQ3|A0A0T8CEQ3_STREE, tr|A0A0T8ZTQ9|A0A0T8ZTQ9_STREE, tr|A0A0T9ZQV0|A0A0T9ZQV0_STREE, tr|A0A0U0JUR5|A0A0U0JUR5_STREE, tr|A0A0X8UVY3|A0A0X8UVY3_STRMT, tr|A0A0Y3MLD0|A0A0Y3MLD0_STREE, tr|A0A139R8T1|A0A139R8T1_STRMT, tr|A0A149VN83|A0A149VN83_STREE, tr|A0A150NQ58|A0A150NQ58_STRMT, tr|A0A1S0ZAJ7|A0A1S0ZAJ7_SALET, tr|A0A1X1JNE2|A0A1X1JNE2_STRMT, tr|A0A1X1JNT1|A0A1X1JNT1_STRMT, tr|A0A1X1KJ51|A0A1X1KJ51_STRMT, tr|A0A1X1KKT3|A0A1X1KKT3_STRMT, tr|A0A1X1L2B2|A0A1X1L2B2_STRMT, tr|A0A1X1L384|A0A1X1L384_STRMT, tr|A0A2J6F7P3|A0A2J6F7P3_STREE, tr|A0A2R2HVG9|A0A2R2HVG9_STREE, tr|A0A3R9IC95|A0A3R9IC95_STRMT, tr|A0A3R9IHV6|A0A3R9IHV6_STRMT, tr|A0A3R9IK82|A0A3R9IK82_STRMT, tr|A0A3R9IV49|A0A3R9IV49_STRMT, tr|A0A3R9JCZ7|A0A3R9JCZ7_STRMT, tr|A0A3R9JIV1|A0A3R9JIV1_STRMT, tr|A0A3R9K131|A0A3R9K131_STRMT, tr|A0A3R9K4Z6|A0A3R9K4Z6_STRMT, tr|A0A3R9K550|A0A3R9K550_STRMT, tr|A0A3R9KA31|A0A3R9KA31_STRMT, tr|A0A3R9L546|A0A3R9L546_STRMT, tr|A0A3R9L5Z0|A0A3R9L5Z0_STRMT, tr|A0A428BEV4|A0A428BEV4_STRMT, tr|A0A428E2F1|A0A428E2F1_STRMT, tr|A0A428GZR4|A0A428GZR4_STRMT, tr|A0A428HHV9|A0A428HHV9_STRMT, tr|A0A4G3V4P6|A0A4G3V4P6_STREE, tr|A0A4G4F609|A0A4G4F609_STREE, tr|A0A4G4IT96|A0A4G4IT96_STREE, tr|A0A4G5QUG3|A0A4G5QUG3_STREE, tr|A0A4H9FXQ2|A0A4H9FXQ2_STREE, tr|A0A4J1PC03|A0A4J1PC03_STREE, tr|A0A4J1PI43|A0A4J1PI43_STREE, tr|A0A4J1QDH6|A0A4J1QDH6_STREE, tr|A0A4J1QHJ7|A0A4J1QHJ7_STREE, tr|A0A4J1RXF3|A0A4J1RXF3_STREE, tr|A0A4J1S4B7|A0A4J1S4B7_STREE, tr|A0A4J1SCW0|A0A4J1SCW0_STREE, tr|A0A4J1SI28|A0A4J1SI28_STREE, tr|A0A4J1TEY3|A0A4J1TEY3_STREE, tr|A0A4J1TQT9|A0A4J1TQT9_STREE, tr|A0A4J1UKP4|A0A4J1UKP4_STREE, tr|A0A4J1ULI9|A0A4J1ULI9_STREE, tr|A0A4J1UZC0|A0A4J1UZC0_STREE, tr|A0A4J1VWV8|A0A4J1VWV8_STREE, tr|A0A4J1WBI3|A0A4J1WBI3_STREE, tr|A0A4J1WMP8|A0A4J1WMP8_STREE, tr|A0A4J1X8G5|A0A4J1X8G5_STREE, tr|A0A4J1XLV1|A0A4J1XLV1_STREE, tr|A0A4J1YMI3|A0A4J1YMI3_STREE, tr|A0A4J1YXM9|A0A4J1YXM9_STREE, tr|A0A4J1Z8P0|A0A4J1Z8P0_STREE, tr|A0A4J1Z939|A0A4J1Z939_STREE, tr|A0A4J1ZNC6|A0A4J1ZNC6_STREE, tr|A0A4J1ZVJ8|A0A4J1ZVJ8_STREE, tr|A0A4J2AR03|A0A4J2AR03_STREE, tr|A0A4J2B4Y1|A0A4J2B4Y1_STREE, tr|A0A4J2B9G1|A0A4J2B9G1_STREE, tr|A0A4J2BGS6|A0A4J2BGS6_STREE, tr|A0A4J2CCU6|A0A4J2CCU6_STREE, tr|A0A4J2CX04|A0A4J2CX04_STREE, tr|A0A4J2DRU2|A0A4J2DRU2_STREE, tr|A0A4J2DTX5|A0A4J2DTX5_STREE, tr|A0A4J2E6L9|A0A4J2E6L9_STREE, tr|A0A4J2EDW0|A0A4J2EDW0_STREE, tr|A0A4J2EKQ8|A0A4J2EKQ8_STREE, tr|A0A4J2EPS6|A0A4J2EPS6_STREE, tr|A0A4J2ERY3|A0A4J2ERY3_STREE, tr|A0A4J2EZR1|A0A4J2EZR1_STREE, tr|A0A4J2FK67|A0A4J2FK67_STREE, tr|A0A4J2G926|A0A4J2G926_STREE, tr|A0A4J2GCE3|A0A4J2GCE3_STREE, tr|A0A4J2GUA8|A0A4J2GUA8_STREE, tr|A0A4J2GVF5|A0A4J2GVF5_STREE, tr|A0A4J2T4J3|A0A4J2T4J3_STREE, tr|A0A4K3FQK4|A0A4K3FQK4_STREE, tr|A0A4K6KER4|A0A4K6KER4_STREE, tr|A0A4L3IIP5|A0A4L3IIP5_STREE, tr|A0A4L7JPI7|A0A4L7JPI7_STREE, tr|A0A4L7V642|A0A4L7V642_STREE, tr|A0A4L7WXY3|A0A4L7WXY3_STREE, tr|A0A4L8I0F8|A0A4L8I0F8_STREE, tr|A0A4L8JQ94|A0A4L8JQ94_STREE, tr|A0A4M2GS38|A0A4M2GS38_STREE, tr|A0A4M3JUI1|A0A4M3JUI1_STREE, tr|A0A4M9XV56|A0A4M9XV56_STREE, tr|A0A4N2RU85|A0A4N2RU85_STREE, tr|A0A4N5PA67|A0A4N5PA67_STREE, tr|A0A4N9BFB5|A0A4N9BFB5_STREE, tr|A0A4P0AGN2|A0A4P0AGN2_STREE, tr|A0A4U1KZE1|A0A4U1KZE1_STRMT, tr|A0A654UC01|A0A654UC01_STREE, tr|A0A654XP85|A0A654XP85_STREE, tr|A0A6G2DJJ1|A0A6G2DJJ1_STREE, tr|A0A6G2DTB2|A0A6G2DTB2_STREE, tr|A0A6I1TZS0|A0A6I1TZS0_STRMT, tr|A0A6I1UFK9|A0A6I1UFK9_STRMT, tr|A0A6I3TM92|A0A6I3TM92_STREE, tr|A0A6I3UH60|A0A6I3UH60_STREE, tr|A0A6M9F397|A0A6M9F397_STRMT, tr|A0A7X1S211|A0A7X1S211_STRMT, tr|A0A822Q5V6|A0A822Q5V6_STREE, tr|A0A829BIJ7|A0A829BIJ7_STREE, tr|A0A853PHU9|A0A853PHU9_STREE, tr|A0A8D9K573|A0A8D9K573_STREE, tr|A0A8E0HNG9|A0A8E0HNG9_STREE, tr|A5LIV0|A5LIV0_STREE, tr|A5M5I4|A5M5I4_STREE, tr|B1I7W5|B1I7W5_STRPI, tr|B2IRE0|B2IRE0_STRPS, tr|C1CBN3|C1CBN3_STRZJ, tr|E0PND3|E0PND3_STRMT, tr|F9MI14|F9MI14_STRMT, tr|F9P1I4|F9P1I4_STRMT, tr|I0SJF7|I0SJF7_STRMT, tr|J0V624|J0V624_STREE, tr|R0MBK6|R0MBK6_STRMT, tr|R0N3Y4|R0N3Y4_STRMT, tr|S7X836|S7X836_STRMT, tr|S7XKD3|S7XKD3_STRMT, tr|V8I7S6|V8I7S6_STRMT, tr|V8ID69|V8ID69_STRMT"
sp|P49720|PSB3_HUMAN	P49720	PSB3_HUMAN	PSMB3	205	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-3	1	0.999	2	5	0	5	2	2	1	0	0	0	2	2	1	2.39E+07	3.56E+07	7.77E+07	1.99E+07	3.19E+07	5.09E+07	"tr|A0A087WUL2|A0A087WUL2_HUMAN, tr|A0A087WXQ8|A0A087WXQ8_HUMAN, tr|A0A087WY10|A0A087WY10_HUMAN"
sp|P49721|PSB2_HUMAN	P49721	PSB2_HUMAN	PSMB2	201	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit beta type-2	1	0.997	3	3	2	3	3	0	0	2	0	0	3	0	0	2.38E+07	3.69E+07	3.02E+07	1.26E+07	1.71E+07	1.96E+07	
sp|P49748|ACADV_HUMAN	P49748	ACADV_HUMAN	ACADVL	655	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	1	0.999	8	10	4	10	8	0	2	3	0	1	8	0	2	8.69E+07	6.80E+07	6.41E+07	2.46E+07	2.76E+07	2.41E+07	
sp|P49755|TMEDA_HUMAN	P49755	TMEDA_HUMAN	TMED10	219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane emp24 domain-containing protein 10	1	0.9988	3	3	2	3	3	0	0	2	0	0	3	0	0	3.57E+07	1.56E+07	1.39E+07	1.44E+07	1.29E+07	9964117	
sp|P49773|HINT1_HUMAN	P49773	HINT1_HUMAN	HINT1	126	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HINT1	1	0.999	3	3	1	3	3	0	0	1	0	0	3	0	0	5.48E+07	1.22E+07	2021223	2.84E+07	1.03E+07	0	
sp|P49902|5NTC_HUMAN	P49902	5NTC_HUMAN	NT5C2	561	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic purine 5'-nucleotidase	1	0.9987	3	3	0	3	3	0	0	0	0	0	3	0	0	2.64E+07	2.68E+07	9956864	1.53E+07	1.55E+07	0	tr|A0A6Q8PHP0|A0A6Q8PHP0_HUMAN
sp|P49903|SPS1_HUMAN	P49903	SPS1_HUMAN	SEPHS1	392	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Selenide, water dikinase 1"	1	0.9984	2	2	2	2	2	0	0	2	0	0	2	0	0	8172902	1.09E+07	8867370	5848708.5	7118679	0	
sp|P50395|GDIB_HUMAN	P50395	GDIB_HUMAN	GDI2	445	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor beta	1	0.999	21	35	13	35	23	6	6	5	4	4	23	6	6	4.42E+08	4.45E+08	4.26E+08	6.79E+07	7.48E+07	6.69E+07	
sp|P50402|EMD_HUMAN	P50402	EMD_HUMAN	EMD	254	Homo sapiens OX=9606	1:Experimental evidence at protein level	Emerin	0.9743	0.9962	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"tr|A0A804HIV7|A0A804HIV7_HUMAN, tr|A0A804HLA2|A0A804HLA2_HUMAN"
sp|P50452|SPB8_HUMAN	P50452	SPB8_HUMAN	SERPINB8	374	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B8	1	0.9962	3	3	3	6	3	0	0	3	0	0	4	1	1	1.34E+07	2.05E+07	1.60E+07	8893336	1.36E+07	1.04E+07	
sp|P50453|SPB9_HUMAN	P50453	SPB9_HUMAN	SERPINB9	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serpin B9	1	0.9971	3	2	2	5	2	0	0	2	0	0	3	1	1	1.09E+07	1.21E+07	1.44E+07	7058368.5	8444020	9368469	
sp|P50502|F10A1_HUMAN	P50502	F10A1_HUMAN	ST13	369	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hsc70-interacting protein	0.9007	0.9845	1	1	0	1	1	0	0	0	0	0	1	0	0	1.15E+07	1.23E+07	1.13E+07	0	0	0	"sp|Q8IZP2|ST134_HUMAN, tr|F6VDH7|F6VDH7_HUMAN, tr|H7C3I1|H7C3I1_HUMAN"
sp|P50570|DYN2_HUMAN	P50570	DYN2_HUMAN	DNM2	870	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynamin-2	1	0.9965	3	4	1	4	3	0	1	1	0	0	3	0	1	1.49E+07	1.56E+07	1.96E+07	6226779.5	8732510	8305623	
sp|P50914|RL14_HUMAN	P50914	RL14_HUMAN	RPL14	215	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L14	1	0.9965	3	5	0	5	3	1	1	0	0	0	3	1	1	6.70E+07	6.80E+07	8.02E+07	3.74E+07	3.86E+07	4.61E+07	tr|E7EPB3|E7EPB3_HUMAN
sp|P50990|TCPQ_HUMAN	P50990	TCPQ_HUMAN	CCT8	548	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit theta	1	0.999	15	19	3	19	15	2	2	3	0	0	15	2	2	1.71E+08	1.27E+08	1.13E+08	2.75E+07	2.68E+07	2.38E+07	
sp|P50991|TCPD_HUMAN	P50991	TCPD_HUMAN	CCT4	539	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 1 subunit delta	1	0.9985	11	13	13	13	10	2	1	10	2	1	10	2	1	1.07E+08	9.81E+07	6.67E+07	2.27E+07	1.97E+07	1.90E+07	
sp|P50995|ANX11_HUMAN	P50995	ANX11_HUMAN	ANXA11	505	Homo sapiens OX=9606	1:Experimental evidence at protein level	Annexin A11	1	0.9989	12	21	14	21	12	4	5	9	2	3	12	4	5	2.70E+08	2.25E+08	2.06E+08	5.08E+07	4.54E+07	4.09E+07	
sp|P51148|RAB5C_HUMAN	P51148	RAB5C_HUMAN	RAB5C	216	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-5C	0.9999	0.999	3	1	0	6	1	0	0	0	0	0	4	1	1	4672898.5	0	0	0	0	0	"tr|K7ERI8|K7ERI8_HUMAN, tr|K7ERQ8|K7ERQ8_HUMAN"
sp|P51149|RAB7A_HUMAN	P51149	RAB7A_HUMAN	RAB7A	207	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-7a	1	0.9989	5	7	0	7	5	2	0	0	0	0	5	2	0	8.75E+07	8.60E+07	8.93E+07	2.61E+07	2.25E+07	3.02E+07	"tr|A0A6Q8PG52|A0A6Q8PG52_HUMAN, tr|A0A6Q8PH84|A0A6Q8PH84_HUMAN"
sp|P51571|SSRD_HUMAN	P51571	SSRD_HUMAN	SSR4	173	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translocon-associated protein subunit delta	1	0.999	4	6	0	6	4	1	1	0	0	0	4	1	1	6.01E+07	9.88E+07	5.81E+07	3.03E+07	4.90E+07	3.46E+07	tr|A6NLM8|A6NLM8_HUMAN
sp|P51572|BAP31_HUMAN	P51572	BAP31_HUMAN	BCAP31	246	Homo sapiens OX=9606	1:Experimental evidence at protein level	B-cell receptor-associated protein 31	1	0.999	9	10	2	10	10	0	0	2	0	0	10	0	0	8.53E+07	6.72E+07	4.96E+07	2.07E+07	2.13E+07	1.98E+07	
sp|P51648|AL3A2_HUMAN	P51648	AL3A2_HUMAN	ALDH3A2	485	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aldehyde dehydrogenase family 3 member A2	1	0.9987	3	3	0	3	3	0	0	0	0	0	3	0	0	1.62E+07	1.12E+07	1.31E+07	0	0	0	"tr|A0A5F9ZHI5|A0A5F9ZHI5_HUMAN, tr|A0A5F9ZHN9|A0A5F9ZHN9_HUMAN, tr|J3QRD1|J3QRD1_HUMAN"
sp|P51659|DHB4_HUMAN	P51659	DHB4_HUMAN	HSD17B4	736	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxisomal multifunctional enzyme type 2	1	0.999	17	23	0	23	18	3	2	0	0	0	18	3	2	2.30E+08	2.28E+08	2.29E+08	3.23E+07	3.49E+07	3.57E+07	"tr|A0A2R8YD50|A0A2R8YD50_HUMAN, tr|A0A804HK65|A0A804HK65_HUMAN, tr|E7EPL9|E7EPL9_HUMAN"
sp|P51665|PSMD7_HUMAN	P51665	PSMD7_HUMAN	PSMD7	324	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 7	1	0.999	6	7	2	7	7	0	0	2	0	0	7	0	0	7.04E+07	2.46E+07	4.75E+07	2.65E+07	1.98E+07	2.07E+07	
sp|P51991|ROA3_HUMAN	P51991	ROA3_HUMAN	HNRNPA3	378	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A3	1	0.999	4	5	0	5	4	1	0	0	0	0	4	1	0	3.59E+07	2.60E+07	4.20E+07	1.42E+07	1.45E+07	1.62E+07	"tr|A0A7I2V2R3|A0A7I2V2R3_HUMAN, tr|A0A7I2V4J6|A0A7I2V4J6_HUMAN, tr|A0A7I2V5D8|A0A7I2V5D8_HUMAN"
sp|P52209|6PGD_HUMAN	P52209	6PGD_HUMAN	PGD	483	Homo sapiens OX=9606	1:Experimental evidence at protein level	"6-phosphogluconate dehydrogenase, decarboxylating"	1	0.999	25	43	6	43	27	8	8	4	1	1	27	8	8	1.69E+09	1.56E+09	1.28E+09	3.30E+08	2.92E+08	2.34E+08	
sp|P52272|HNRPM_HUMAN	P52272	HNRPM_HUMAN	HNRNPM	730	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein M	1	0.999	16	19	0	19	16	1	2	0	0	0	16	1	2	1.38E+08	1.27E+08	1.41E+08	2.31E+07	2.38E+07	2.46E+07	tr|A0A087X0X3|A0A087X0X3_HUMAN
sp|P52294|IMA5_HUMAN	P52294	IMA5_HUMAN	KPNA1	538	Homo sapiens OX=9606	1:Experimental evidence at protein level	Importin subunit alpha-5	1	0.9981	2	2	0	2	2	0	0	0	0	0	2	0	0	6131571	7918553	7228432	3388121.2	4481706	4069275.2	
sp|P52565|GDIR1_HUMAN	P52565	GDIR1_HUMAN	ARHGDIA	204	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GDP-dissociation inhibitor 1	1	0.999	8	12	0	12	9	1	2	0	0	0	9	1	2	3.08E+08	1.83E+08	2.07E+08	1.15E+08	1.04E+08	1.01E+08	
sp|P52566|GDIR2_HUMAN	P52566	GDIR2_HUMAN	ARHGDIB	201	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GDP-dissociation inhibitor 2	0.9911	0.9987	1	1	0	1	1	0	0	0	0	0	1	0	0	1.32E+07	1.69E+07	2.21E+07	0	0	0	"tr|F5H2R5|F5H2R5_HUMAN, tr|F5H3P3|F5H3P3_HUMAN, tr|F5H6Q0|F5H6Q0_HUMAN, tr|H0YGX7|H0YGX7_HUMAN"
sp|P52789|HXK2_HUMAN	P52789	HXK2_HUMAN	HK2	917	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hexokinase-2	1	0.9987	3	1	0	3	1	0	0	0	0	0	3	0	0	8734546	1.23E+07	6231879.5	0	0	0	tr|E9PB90|E9PB90_HUMAN
sp|P52895|AK1C2_HUMAN	P52895	AK1C2_HUMAN	AKR1C2	323	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aldo-keto reductase family 1 member C2	1	0.999	2	3	0	3	3	0	0	0	0	0	3	0	0	2.19E+07	0	1.04E+07	0	0	0	"sp|Q04828|AK1C1_HUMAN, tr|B4DK69|B4DK69_HUMAN, tr|S4R3P0|S4R3P0_HUMAN"
sp|P52907|CAZA1_HUMAN	P52907	CAZA1_HUMAN	CAPZA1	286	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-actin-capping protein subunit alpha-1	1	0.999	9	11	9	11	9	0	2	7	0	2	9	0	2	2.25E+08	2.14E+08	2.05E+08	8.67E+07	8.30E+07	8.12E+07	
sp|P52943|CRIP2_HUMAN	P52943	CRIP2_HUMAN	CRIP2	208	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich protein 2	1	0.999	3	4	0	4	4	0	0	0	0	0	4	0	0	1.61E+07	1.59E+07	1.84E+07	0	0	0	tr|H0YFA4|H0YFA4_HUMAN
sp|P53004|BIEA_HUMAN	P53004	BIEA_HUMAN	BLVRA	296	Homo sapiens OX=9606	1:Experimental evidence at protein level	Biliverdin reductase A	1	0.9965	5	5	3	5	5	0	0	3	0	0	5	0	0	3.15E+07	3.32E+07	2.33E+07	1.03E+07	1.12E+07	1.06E+07	
sp|P53396|ACLY_HUMAN	P53396	ACLY_HUMAN	ACLY	1101	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-citrate synthase	1	0.9989	4	4	3	4	4	0	0	3	0	0	4	0	0	1.48E+07	9358227	1.36E+07	5239783	5223542.5	5086113.5	
sp|P53582|MAP11_HUMAN	P53582	MAP11_HUMAN	METAP1	386	Homo sapiens OX=9606	1:Experimental evidence at protein level	Methionine aminopeptidase 1	0.9415	0.9912	1	1	0	1	1	0	0	0	0	0	1	0	0	2892265.5	2560227.2	2839503	0	0	0	tr|H0Y955|H0Y955_HUMAN
sp|P53618|COPB_HUMAN	P53618	COPB_HUMAN	COPB1	953	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit beta	1	0.999	4	5	4	5	5	0	0	4	0	0	5	0	0	3.87E+07	2.21E+07	1.24E+07	1.08E+07	6839831	7637747	
sp|P53621|COPA_HUMAN	P53621	COPA_HUMAN	COPA	1224	Homo sapiens OX=9606	1:Experimental evidence at protein level	Coatomer subunit alpha	1	0.999	7	7	0	7	7	0	0	0	0	0	7	0	0	3.88E+07	2.74E+07	2.77E+07	9826582	9133812	9780677	"tr|A0A3B3IS84|A0A3B3IS84_HUMAN, tr|A0A3B3ISC6|A0A3B3ISC6_HUMAN"
sp|P53634|CATC_HUMAN	P53634	CATC_HUMAN	CTSC	463	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dipeptidyl peptidase 1	1	0.9978	2	4	0	4	2	1	1	0	0	0	2	1	1	3.76E+07	6.67E+07	7.95E+07	2.94E+07	5.00E+07	5.07E+07	"tr|A0A7I2V2Q8|A0A7I2V2Q8_HUMAN, tr|A0A7I2V466|A0A7I2V466_HUMAN, tr|A0A7I2V6E3|A0A7I2V6E3_HUMAN, tr|A0A7I2YQT5|A0A7I2YQT5_HUMAN"
sp|P53992|SC24C_HUMAN	P53992	SC24C_HUMAN	SEC24C	1094	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec24C	1	0.9916	2	2	0	2	2	0	0	0	0	0	2	0	0	1380266.2	0	0	0	0	0	tr|G5EA31|G5EA31_HUMAN
sp|P54108|CRIS3_HUMAN	P54108	CRIS3_HUMAN	CRISP3	245	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine-rich secretory protein 3	1	0.9988	4	6	0	6	4	0	2	0	0	0	4	0	2	2.40E+07	2.17E+07	4.92E+07	1.46E+07	1.31E+07	2.73E+07	"tr|I3L0A1|I3L0A1_HUMAN, tr|J3KPA1|J3KPA1_HUMAN"
sp|P54136|SYRC_HUMAN	P54136	SYRC_HUMAN	RARS1	660	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Arginine--tRNA ligase, cytoplasmic"	1	0.9988	7	7	3	7	7	0	0	3	0	0	7	0	0	5.42E+07	3.26E+07	2.01E+07	9418840	9402325	9201824	
sp|P54577|SYYC_HUMAN	P54577	SYYC_HUMAN	YARS1	528	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Tyrosine--tRNA ligase, cytoplasmic"	1	0.999	1	3	0	3	1	1	1	0	0	0	1	1	1	4.12E+07	2.17E+07	1.82E+07	0	0	0	tr|A0A6Q8PFX2|A0A6Q8PFX2_HUMAN
sp|P54578|UBP14_HUMAN	P54578	UBP14_HUMAN	USP14	494	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 14	1	0.9948	1	1	0	1	1	0	0	0	0	0	1	0	0	6428407	4928775	0	0	0	0	tr|A6NJA2|A6NJA2_HUMAN
sp|P54652|HSP72_HUMAN	P54652	HSP72_HUMAN	HSPA2	639	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heat shock-related 70 kDa protein 2	1	0.999	16	5	5	24	5	0	0	5	0	0	15	5	4	5.32E+07	3.64E+07	2.49E+07	2.04E+07	1.91E+07	1.65E+07	
sp|P54727|RD23B_HUMAN	P54727	RD23B_HUMAN	RAD23B	409	Homo sapiens OX=9606	1:Experimental evidence at protein level	UV excision repair protein RAD23 homolog B	1	0.9989	2	3	1	3	3	0	0	1	0	0	3	0	0	2.56E+07	1.76E+07	0	1.50E+07	9803578	0	
